#Open,High,Low,Close,Adj Close,Volume
31650,33000,31200,545049,32050
32650,33300,32000,395328,33200
32550,32550,29950,592750,30950
31000,31550,30350,253516,30750
31400,31600,30400,439454,31350
30400,30750,30150,276655,30150
30400,30500,28800,432342,29150
28550,29750,28250,404308,29000
29200,30250,29000,366978,29900
30350,31950,30200,503394,31750
32200,32600,30900,463713,31000
31250,32150,30100,328080,32100
31800,32100,29800,373260,30100
29700,30700,29600,220130,30350
30350,31050,28400,380924,28500
29100,29800,27200,508526,29450
29500,30300,29100,206155,29250
29650,30500,29250,260217,30100
30150,32400,30100,675865,32000
32350,33150,31650,417948,32600
31600,33450,31200,441312,33400
33800,33800,32100,406405,32200
31600,31900,29200,614688,29200
29400,29900,28450,386934,29100
29100,29850,29000,409470,29150
29600,30400,29200,253242,29200
28700,29100,27150,326168,27700
27450,29300,27450,274453,28750
29200,29550,28850,168426,29350
28750,28800,27750,241697,28100
28700,29200,28300,352118,29150
29050,29550,28250,175783,28300
28750,30050,28650,425323,30050
30500,32750,30150,820480,32750
32500,33600,32100,542517,32100
32100,32650,30500,451025,31950
31950,32150,30800,216989,31350
31900,32600,31350,342290,31500
32200,32500,31350,339481,31900
32100,32500,31400,289951,32300
32650,32800,30900,596797,31650
31900,33150,31500,462860,33100
33600,35250,33250,1134095,35250
34900,34950,33750,1341002,34650
34850,36000,33900,1424398,35900
35950,36250,35100,684501,35450
35050,35550,34500,454606,35000
34250,35300,34250,542515,34600
34850,36450,34000,726671,36100
36100,37350,35700,695340,37250
37100,37600,36750,296742,37300
37600,37800,36150,344399,36200
36100,36700,34500,604190,35750
36250,36250,34600,610737,34900
34800,35300,33200,635310,33800
34650,36400,34450,655629,36100
35900,36250,35300,285269,35300
35850,36900,35500,405632,36650
36550,37300,36250,309470,37300
36450,37450,36400,267459,37200
37000,37400,35750,351713,36350
36750,37000,35950,344825,36300
36200,36500,34400,265277,34400
33650,34050,32500,615682,33200
33750,34050,32050,396716,32100
30000,30750,28450,761608,28900
28500,30250,26450,693486,29600
29200,30000,25450,907520,29900
32100,32150,30500,713465,30550
28850,31900,28850,405949,31350
32000,32200,29400,441870,29400
30500,31300,30500,270877,30950
31400,33350,30950,453155,32900
32900,34450,32600,580469,33850
32500,34000,30500,454993,31800
32000,32500,29600,247328,29600
30550,31350,30050,309642,30700
31450,32700,30550,351688,30700
31300,31750,29200,425887,29700
29250,29950,28750,271335,29800
30550,32250,29800,496336,31850
32000,32350,30500,380637,31600
31950,33600,31800,465248,33600
33500,34700,33000,461097,33650
33650,35050,33050,407662,34800
34450,34500,33150,238394,33150
32300,34100,32050,316101,33250
33900,34350,33300,226465,33900
34350,35250,33000,548658,33550
33000,33500,31350,381627,32500
32350,32450,30650,267020,31450
32150,32700,30300,301910,32100
32700,33000,31700,407002,33000
32500,33050,31300,248630,31700
31700,32000,30800,216036,31400
31650,33250,31600,404038,32650
31900,32200,30500,304586,31200
29400,29900,27900,515254,27900
28500,28600,23750,618370,24300
25900,26200,25000,797478,25700
26350,26950,25000,575253,25000
24550,25100,23900,650343,24700
25200,25950,24550,730497,24900
22900,22900,21200,1312733,21200
21500,21600,18050,1955951,18350
19500,20200,19300,1443412,19700
20600,22600,20450,1353258,22300
22800,23450,22500,715858,22650
23750,23950,22900,619323,22900
23200,23950,22450,476030,23850
24300,24500,23700,536434,23900
23800,24250,23150,301704,24050
24500,25100,24200,472537,24900
24000,24500,23800,463594,24500
25000,25300,23350,604403,23850
23850,24600,21200,746225,21800
22350,23050,21550,561535,23000
23450,24000,23300,380990,23700
24000,25300,23900,866671,24100
23550,24300,23200,360901,24100
24850,27700,24600,1644388,27700
28300,29650,27200,1208560,27300
27700,28350,27250,456195,27450
26750,27400,26300,452741,26550
25200,26000,24700,565779,26000
26300,26400,25000,364828,25000
26250,27400,26100,580325,26900
26800,27750,26450,541130,27700
28200,28350,27300,410757,27500
28250,28850,27750,531329,27800
26900,26900,25750,709704,26250
26900,27450,26450,357229,27450
28000,28800,27800,477942,28650
28600,29150,27850,496813,27900
28400,28600,27150,375270,27150
27500,27900,26650,312956,27900
27000,27750,26650,362643,27650
27800,27900,26900,273371,26900
26000,26700,25000,964798,25350
25400,25400,23200,1088059,23300
23950,24550,23350,621115,24300
23850,24250,22500,560753,23250
23600,24100,23500,262689,23900
24400,24650,23900,511414,23950
23700,24200,22800,771403,22800
24500,26000,24350,1361115,25250
25100,25950,25100,457893,25500
25800,25850,24950,441164,25500
25600,25750,24750,320908,24950
25000,25300,24400,300095,25200
25350,26100,25200,473693,25950
25400,25700,25050,355000,25100
25800,25800,24700,379255,24750
24200,24350,23750,315869,24150
24150,24400,23650,240796,24050
23450,23500,22800,333292,22950
23000,23450,22450,365385,22650
22800,22800,20300,635924,21000
21100,21500,20800,507713,21300
22300,22450,21800,378686,21800
21600,21900,21350,198869,21700
22250,22400,22100,274694,22200
22450,22500,21950,205668,22050
21900,22150,20600,277491,21300
21250,21250,20350,312535,20600
20300,21000,20100,315061,20950
20900,22050,20700,349971,21950
22150,22750,21950,439054,22500
22700,22700,22150,256617,22600
22700,23250,22400,350095,23100
23000,23000,22050,335070,22150
21950,22000,21150,258333,21300
21500,22500,21500,248042,22500
22900,23000,22250,323139,22550
22500,23350,22500,304929,22800
23300,24150,23250,812685,23900
23600,23800,23250,270263,23500
23950,25150,23700,598475,24750
24800,25050,24100,278865,24250
24600,24800,23800,274416,24450
24450,25150,24350,291183,24700
25150,25350,24250,236443,24400
24800,24950,24650,249398,24950
25050,25100,24300,174722,24800
24750,25200,24350,121929,24500
24500,25800,24500,353888,25400
25400,26400,25300,349689,26400
26850,27850,26800,544768,27250
27500,28200,27000,426897,28100
28700,28700,27000,425011,27600
27600,27900,27050,274552,27450
27600,29750,27550,687367,29450
29450,29950,28950,383525,29850
29800,29850,28900,336406,29100
29000,29450,28450,168839,29250
29250,29900,29100,236512,29450
29700,29700,28650,197593,28850
28400,28600,27550,438899,27550
28300,29000,28150,400178,28850
29300,29550,28350,192265,28350
28700,28700,27750,240541,28200
28200,28850,28200,175898,28550
28300,28300,27800,116669,27800
28100,28200,26800,318922,27000
26650,27350,26050,274603,26050
26200,26850,25750,284596,26350
26550,27100,26350,263384,26750
27100,27400,26900,247362,27150
27000,27100,26200,192584,26350
26350,27850,26200,492926,27750
27400,27900,26700,466052,26900
27000,27300,26300,321598,27100
27200,27350,26450,202935,26750
26750,27150,26350,167635,26350
26500,26800,26350,88486,26400
27000,27100,26700,140039,26700
26700,26900,26050,170473,26250
26250,26300,25600,167392,25800
25900,26400,25850,118583,26300
26300,26600,25750,140382,25800
25450,25950,25100,206240,25400
25000,25200,23550,584175,24150
24000,24750,23700,215620,24650
24650,24850,23950,140811,24250
24400,24650,23550,288854,23800
23650,24150,23600,139666,23800
23800,24450,23550,261975,24350
24200,24950,24000,182091,24650
24500,25000,24250,78967,24250
24150,24350,23500,233294,23850
23850,23850,22500,190889,22750
22600,22650,21900,329021,22200
22000,22950,21850,177899,22250
22200,22800,21950,142513,22350
22450,23900,22450,299932,23700
23300,23900,23300,139729,23900
24250,24350,23150,290397,23650
23600,23700,23300,98910,23550
23650,23750,22650,204420,22800
23200,23300,22850,186163,22850
23000,23150,22450,122382,22650
22350,22500,21500,365166,21600
21500,21800,21050,237516,21350
20800,21700,20700,168235,21150
21550,21550,20450,180258,20600
20900,21050,19200,457173,19600
19550,19700,18400,636067,18600
19050,19700,18650,382468,19650
19750,20250,19350,413642,19700
19650,19900,19450,140069,19850
19700,20150,19350,223785,20000
19500,19650,19000,235147,19000
19300,19400,19000,205424,19250
18950,19350,18700,244434,19000
18750,19100,18550,259613,18800
18950,19000,17850,329451,17950
18250,18250,17350,317163,17550
17100,17800,16700,440927,17800
17300,17600,16900,386928,17100
17000,17550,16750,371441,17100
16600,16850,15900,362991,16150
16400,16500,15650,315913,16000
16300,16700,15900,340217,16600
16750,16750,16000,274889,16050
16050,16350,15800,223141,16000
16100,16500,16050,304692,16350
16450,17450,16400,354960,17400
17350,17350,16750,336250,16850
16500,16550,16150,234566,16500
16450,16900,16300,184399,16450
15600,15850,15100,283655,15450
15650,15850,15500,171499,15750
16350,16550,16150,172156,16150
16550,16600,16050,167734,16150
16500,16900,16450,274619,16800
16300,16600,16250,212884,16500
16750,16800,16150,200702,16300
16300,16450,16000,196460,16300
16400,17250,16350,462350,17250
17550,18300,17400,558603,17950
17800,17900,17350,283902,17800
18100,18250,17700,270928,17900
17900,18250,17650,260514,17900
17550,17650,17050,326934,17100
