Date,Open,High,Low,Close,Adj Close,Volume
2010-12-22,20350.000000,20550.000000,19850.000000,19850.000000,18028.171875,183651
2010-12-23,20000.000000,20250.000000,19450.000000,19650.000000,17846.527344,106836
2010-12-24,19550.000000,19750.000000,18950.000000,19400.000000,17619.470703,153131
2010-12-27,19400.000000,19600.000000,19000.000000,19100.000000,17347.005859,150083
2010-12-28,19100.000000,19500.000000,18950.000000,18950.000000,17210.771484,167865
2010-12-29,19150.000000,20050.000000,19100.000000,19750.000000,18324.138672,378599
2010-12-30,19900.000000,20450.000000,19450.000000,20450.000000,18973.599609,259094
2011-01-03,20550.000000,20650.000000,19750.000000,20050.000000,18602.478516,207645
2011-01-04,20050.000000,20100.000000,19650.000000,19800.000000,18370.527344,203212
2011-01-05,19800.000000,20200.000000,19350.000000,19650.000000,18231.357422,243645
2011-01-06,19850.000000,21000.000000,19550.000000,20850.000000,19344.722656,359757
2011-01-07,20850.000000,21200.000000,20550.000000,20950.000000,19437.503906,310475
2011-01-10,20950.000000,21400.000000,20600.000000,21300.000000,19762.234375,217822
2011-01-11,21400.000000,21700.000000,21000.000000,21600.000000,20040.576172,269688
2011-01-12,21550.000000,22950.000000,21200.000000,22750.000000,21107.548828,408179
2011-01-13,22900.000000,22950.000000,22000.000000,22100.000000,20504.478516,237216
2011-01-14,22000.000000,22400.000000,21700.000000,21700.000000,20133.355469,162454
2011-01-17,21600.000000,23850.000000,21600.000000,23400.000000,21710.623047,475263
2011-01-18,23400.000000,25150.000000,22800.000000,25000.000000,23195.109375,726488
2011-01-19,25000.000000,26000.000000,24250.000000,24300.000000,22545.648438,376315
2011-01-20,24000.000000,25400.000000,24000.000000,24100.000000,22360.087891,280139
2011-01-21,24400.000000,24700.000000,23600.000000,23600.000000,21896.183594,196268
2011-01-24,23700.000000,24600.000000,23450.000000,24500.000000,22731.208984,242454
2011-01-25,24550.000000,25900.000000,23300.000000,23950.000000,22220.916016,527446
2011-01-26,23750.000000,24400.000000,23200.000000,23950.000000,22220.916016,350617
2011-01-27,23800.000000,24550.000000,23650.000000,24100.000000,22360.087891,317834
2011-01-28,24750.000000,25600.000000,24350.000000,25450.000000,23612.623047,338559
2011-01-31,25050.000000,26150.000000,24900.000000,25200.000000,23380.671875,349299
2011-02-01,25600.000000,25800.000000,24050.000000,24450.000000,22684.816406,229855
2011-02-07,24900.000000,24950.000000,23750.000000,24300.000000,22545.648438,264376
2011-02-08,25000.000000,25550.000000,24650.000000,24900.000000,23102.332031,286623
2011-02-09,24700.000000,24900.000000,23750.000000,24550.000000,22777.599609,206380
2011-02-10,24200.000000,25450.000000,24200.000000,25200.000000,23380.671875,330930
2011-02-11,25500.000000,26100.000000,24650.000000,25250.000000,23427.060547,339211
2011-02-14,25250.000000,26000.000000,24900.000000,26000.000000,24122.916016,234022
2011-02-15,26200.000000,26350.000000,25600.000000,25600.000000,23751.792969,181630
2011-02-16,25500.000000,26000.000000,25200.000000,25250.000000,23427.060547,185170
2011-02-17,25550.000000,25550.000000,22500.000000,22900.000000,21246.722656,492534
2011-02-18,23500.000000,24450.000000,23150.000000,24250.000000,22499.257813,347605
2011-02-21,24050.000000,24300.000000,23350.000000,23600.000000,21896.183594,300776
2011-02-22,23000.000000,23500.000000,22750.000000,23000.000000,21339.501953,165104
2011-02-23,22750.000000,24150.000000,22750.000000,23400.000000,21710.623047,225980
2011-02-24,23200.000000,23400.000000,22000.000000,22550.000000,20921.990234,285275
2011-02-25,22550.000000,23200.000000,22300.000000,22900.000000,21246.722656,157565
2011-02-28,22800.000000,23150.000000,22050.000000,22100.000000,20504.478516,151618
2011-03-02,21900.000000,22550.000000,21400.000000,21500.000000,19947.794922,178561
2011-03-03,21900.000000,23100.000000,21700.000000,23000.000000,21339.501953,221279
2011-03-04,23250.000000,23500.000000,22850.000000,23250.000000,21571.453125,186801
2011-03-07,23800.000000,23800.000000,23050.000000,23100.000000,21432.283203,146131
2011-03-08,24000.000000,24900.000000,23700.000000,24800.000000,23009.548828,319457
2011-03-09,25200.000000,25250.000000,24650.000000,24900.000000,23102.332031,244041
2011-03-10,25200.000000,25450.000000,24400.000000,25100.000000,23287.890625,210006
2011-03-11,24500.000000,25000.000000,24400.000000,24900.000000,23102.332031,112515
2011-03-14,25800.000000,26100.000000,24700.000000,25750.000000,23890.964844,284330
2011-03-15,25750.000000,25900.000000,23000.000000,24500.000000,22731.208984,266462
2011-03-16,24700.000000,25100.000000,23750.000000,25000.000000,23195.109375,321408
2011-03-17,24200.000000,24650.000000,23900.000000,24250.000000,22499.257813,267215
2011-03-18,24800.000000,26500.000000,24500.000000,26500.000000,24586.816406,612477
2011-03-21,26650.000000,27350.000000,26250.000000,26900.000000,24957.937500,438928
2011-03-22,27100.000000,28400.000000,26850.000000,27400.000000,25421.841797,434343
2011-03-23,27400.000000,29750.000000,27050.000000,28200.000000,26164.085938,590264
